District,Building name,Last date of visit of the case(s),Related cases
Central & Western,Soho 38,,
Central & Western,The Icon,,
Central & Western,Samtoh Building,,
Central & Western,San Hey Lou,,
Central & Western,"Block B, Smithfield Garden",,
Central & Western,"Tower 2, University Heights",,
Central & Western,17 Connaught Road West,,
Central & Western,Chung Ah Building,,
Central & Western,Yen Shin Mansion,,
Central & Western,Tai Pak Terrace,,
Central & Western,Tei Kei House,,
Central & Western,Nikken Heights,,
Central & Western,16A Possession Street,,
Central & Western,20 Possession Street,,
Central & Western,Tower 125,,
Central & Western,"Block 2, Cayman Rise",,
Central & Western,Nice Garden,,
Central & Western,Wing Cheung Building,,
Central & Western,"Block M, Wing Wah Mansion",,
Central & Western,"Block V, Wing Wah Mansion",,
Central & Western,Wing Yu Building,,
Central & Western,Wing Fong Mansion,,
Central & Western,Siu Cheung Building,,
Central & Western,Joyful Building,,
Central & Western,Ha Lung Building,,
Central & Western,Mingle Place At The Eden,,
Central & Western,Skyline Mansion,,
Central & Western,"Block 1, Centenary Mansion",,
Central & Western,"Block 2, Centenary Mansion",,
Central & Western,Soho 189,,
Central & Western,"Tower, Western Garden, Evergreen",,
Central & Western,"Ivy Tower, Western Garden",,
Central & Western,"North Terrace, Sai Wan Estate",,
Central & Western,"West Terrace, Sai Wan Estate",,
Central & Western,"South Terrace, Sai Wan Estate",,
Central & Western,24-28 Western Street,,
Central & Western,Lee Wah Mansion,,
Central & Western,Conduit Tower,,
Central & Western,"Phase 1, Kwan Yick Building",,
Central & Western,"Block A, Phase 2, Kwan Yick Building",,
Central & Western,"Block B, Phase 2, Kwan Yick Building",,
Central & Western,"Block A, Phase 3, Kwan Yick Building",,
Central & Western,Liang Ga Building,,
Central & Western,Wo Yick Mansion,,
Central & Western,Ibis Hong Kong Central & Sheung Wan Hotel,,
Central & Western,22-44 Whitty Street,,
Central & Western,"Block 1, Elegant Garden",,
Central & Western,"Block 2, Elegant Garden",,
Central & Western,Yee Fung Court,,
Central & Western,"Tower 2, Scenecliff",,
Central & Western,Cheong Kat Building,,
Central & Western,Cheong Kwai Building,,
Central & Western,"Block D, Pearl Gardens",,
Central & Western,Tong Nam Mansion,,
Central & Western,Tung Shing Terrace,,
Central & Western,16 Tung Street,,
Central & Western,"Block 3, The Merton",,
Central & Western,Golden Lodge,,
Central & Western,Kam Kin Mansion,,
Central & Western,Kam Ling Court,,
Central & Western,Kam Yu Mansion,,
Central & Western,Cambridge Villa,,
Central & Western,Imperial Terrace,,
Central & Western,Po Leung Kuk Sai Ying Pun Home For The Elderly Cum Day Care Centre For The Elderly,,
Central & Western,25-27 Po Tuck Street,,
Central & Western,Welley Building,,
Central & Western,93 Wellington Street,,
Central & Western,"Tower 3, Queen's Terrace",,
Central & Western,Hang Yue Building,,
Central & Western,222-224 Queen's Road West,,
Central & Western,24 Queen's Road West,,
Central & Western,"Po Lung Court, Ying Ga Garden",,
Central & Western,Mei Shing Mansion,,
Central & Western,Medal Court,,
Central & Western,Mei Sun Building,,
Central & Western,The University of Hong Kong Jockey Club Student Village III Lap- Chee College,,
Central & Western,Chiu Hom Court,,
Central & Western,Hong Villa,,
Central & Western,Yukon Court,,
Central & Western,Tai Fat Building,,
Central & Western,O. T. B. Building,,
Central & Western,Hoi Sing Building,,
Central & Western,Hoi Ming Court,,
Central & Western,Hoi Tao Building,,
Central & Western,Sea View Mansion,,
Central & Western,True Light Building,,
Central & Western,"Ka Fu Building, 19-27 Bonham Road",,
Central & Western,Mini Hotel,,
Central & Western,88-90 Ko Shing Street,,
Central & Western,Goldwin Heights,,
Central & Western,Ko Chun Court,,
Central & Western,"Block 2, Connaught Garden",,
Central & Western,Wai On House,,
Central & Western,Kennedy Town Centre,,
Central & Western,134 Caine Road,,
Central & Western,Goodwill Garden,,
Central & Western,"Block A, Chong Yip Centre",,
Central & Western,"Block B, Chong Yip Centre",,
Central & Western,"Block 2, Scenic Heights",,
Central & Western,"Siu Cheung Building, 3-4 Chiu Kwong Street",,
Central & Western,5 Wa Lane,,
Central & Western,"Block A, Wah Ming Centre",,
Central & Western,Shun Sing Mansion,,
Central & Western,Old Bailey Street Police Married Quarters,,
Central & Western,Sun Shing Mansion,,
Central & Western,Aspen Court,,
Central & Western,Winsome Park,,
Central & Western,Chatswood Villa,,
Central & Western,Grand Fortune Mansion,,
Central & Western,"Tower 1, Robinson Place",,
Central & Western,Kiu Fat Building,,
Central & Western,Ka Ming Building,,
Central & Western,"Garley Building, 45-53A Graham Street",,
Central & Western,"Block A, Ka Fu Building",,
Central & Western,Ka Yue Building,,
Central & Western,"Block C, Smithfield Terrace",,
Central & Western,Garble Garden,,
Central & Western,37 Gough Street,,
Central & Western,Bohemian House,,
Central & Western,Ivy On Belcher's,,
Central & Western,Tsui King Court,,
Central & Western,215 Des Voeux Road West,,
Central & Western,406 Des Voeux Road West,,
Central & Western,408C Des Voeux Road West,,
Central & Western,408 Des Voeux Road West,,
Central & Western,"Tower 2, Elegant Terrace",,
Central & Western,Mt. Davis Ambulance Depot,,
Central & Western,"Block 3, Robinson Heights",,
Central & Western,Lok Po House,,
Central & Western,Bayview Mansion,,
Central & Western,Visalia Garden,,
Central & Western,Bella Vista,,
Central & Western,Houston Court,,
Central & Western,"Tower 1, Island Crest",,
Central & Western,"Tower 2, Island Crest",,
Central & Western,"Block 1, University Heights",,
Central & Western,Hing Tai Building,,
Central & Western,Hing Loong Building,,
Central & Western,Lai Yan Lau,,
Central & Western,"Block H, Kam Yuen Mansion",,
Central & Western,38-40 Aberdeen Street,,
Central & Western,Ying Piu Mansion,,
Central & Western,Mau Wah Mansion,,
Central & Western,Luen On Apartments,,
Central & Western,Luen Gay Apartments,,
Central & Western,Luen Hong Apartments,,
Central & Western,Luen Tak Building,,
Central & Western,Luen Tak Apartments,,
Central & Western,Fung Yu Building,,
Central & Western,Albron Court,,
Central & Western,"Block A, Parkway Court",,
Central & Western,"Tower B, Parkway Court",,
Central & Western,Belcher's Hill,,
Central & Western,Bowen Mansion,,
Central & Western,"Tower 3, The Belcher's",,
Central & Western,"Tower 5, The Belcher's",,
Central & Western,"Tower 6, The Belcher's",,
Central & Western,Po Tak Mansion,,
Central & Western,Aigburth,,
Central & Western,"Block 1, Kwun Lung Lau",,
Central & Western,"Block C, Kwun Lung Lau",,
Central & Western,"Block D, Kwun Lung Lau",,
Central & Western,"Block E, Kwun Lung Lau",,
Central & Western,Tai Hong Building,,
