District,Building name,Last date of visit of the case(s),Related cases
Central & Western,Imperial Kennedy,,
Central & Western,Federate Building,,
Central & Western,Sum Way Mansion,,
Central & Western,55 Conduit Road,,
Central & Western,"Block A, New Fortune House",,
Central & Western,"Block B, New Fortune House",,
Central & Western,Tin Hing Mansion,,
Central & Western,Tower 125,,
Central & Western,Nice Garden,,
Central & Western,3 Wing Lee Street,,
Central & Western,Wing Wah Mansion,,
Central & Western,Wing Lok Mansion,,
Central & Western,"Tower 3, Tregunter",,
Central & Western,"Block 1, Centenary Mansion",,
Central & Western,"Block 2, Centenary Mansion",,
Central & Western,Western House,,
Central & Western,"Evergreen Tower, Western Garden",,
Central & Western,"Ivy Tower, Western Garden",,
Central & Western,Le Caine Mansion,,
Central & Western,Lee Fung Building,,
Central & Western,"Block C, Phase 2, Kwan Yick Building",,
Central & Western,The Bonham Mansion,,
Central & Western,131 Belcher's Street,,
Central & Western,"Hang Fai Building, 67-83 Belcher's Street",,
Central & Western,Wo Yick Mansion,,
Central & Western,Centrepoint,,
Central & Western,"Block 2, Elegant Garden",,
Central & Western,Ming Hing Building,,
Central & Western,Tung Lee Mansion,,
Central & Western,Tong Nam Mansion,,
Central & Western,Kam Ling Court,,
Central & Western,"Block B, Kam Ling Court",,
Central & Western,Kam Yu Mansion,,
Central & Western,Scholastic Garden,,
Central & Western,"Block A, Nam Hung Mansion",,
Central & Western,Hau Fook Building,,
Central & Western,"Tower 2, Queen'S Terrace",,
Central & Western,"Block C, Imperial Court",,
Central & Western,Kin Liong Mansion,,
Central & Western,"Block B, Pearl Court",,
Central & Western,May Sun Building,,
Central & Western,"Block B, Mei Sun Lau",,
Central & Western,"Chi Sun College, Jockey Club Student Village 3, The University Of Hong Kong",,
Central & Western,To Li Garden,,
Central & Western,"Block 2, Hoi Sing Building",,
Central & Western,Hoi Tao Building,,
Central & Western,Sea View Mansion,,
Central & Western,"Block A, Yick Fung Garden",,
Central & Western,True Light Building,,
Central & Western,Johnson Mansion,,
Central & Western,Manhattan Heights,,
Central & Western,"Block 1, Connaught Garden",,
Central & Western,"Block 3, Connaught Garden",,
Central & Western,Kennedy Town Centre,,
Central & Western,Goodwill Garden,,
Central & Western,Cliffview Mansions,,
Central & Western,47-53 First Street,,
Central & Western,Hollywood Building,,
Central & Western,"Block C, Chong Yip Centre",,
Central & Western,Wealth Building,,
Central & Western,Fu Yin Court,,
Central & Western,Princeton Tower,,
Central & Western,Sun On Building,,
Central & Western,Sun Shing Mansion,,
Central & Western,Sun Shing Building,,
Central & Western,Yip Cheong Building,,
Central & Western,"Block 1, Yuk Ming Towers",,
Central & Western,"Block A, Y Y Mansions",,
Central & Western,Evora Building,,
Central & Western,"Tower 1, Grandview Garden",,
Central & Western,Kiu Fat Building,,
Central & Western,Garley Building,,
Central & Western,Carol Mansion,,
Central & Western,Garfield Mansion,,
Central & Western,"Block C, Smithfield Terrace",,
Central & Western,41 Gough Street,,
Central & Western,Artisan House,,
Central & Western,Floral Tower,,
Central & Western,Green View Court,,
Central & Western,406 Des Voeux Road West,,
Central & Western,"Block 2, Vantage Park",,
Central & Western,Rockson Mansion,,
Central & Western,"Block 2, Robinson Heights",,
Central & Western,3 U Lam Terrace,,
Central & Western,Chester Court,,
Central & Western,"Tower 2, Dragonfair Garden",,
Central & Western,Lung Fai Mansion,,
Central & Western,Ying Piu Mansion,,
Central & Western,Mau Wah Mansion,,
Central & Western,Luen Yick Building,,
Central & Western,Fung Yip Building,,
Central & Western,Arezzo,,
Central & Western,62C Robinson Road,,
Central & Western,"Block A, Tycoon Court",,
Central & Western,Grand Bowen,,
Central & Western,Bowie Court,,
Central & Western,"Tower 1, The Belcher's",,
Central & Western,"Tower 5, The Belcher's",,
Central & Western,"Tower 1, Kwun Lung Lau",,
Central & Western,"Block B, Kwun Lung Lau",,
Eastern,"Sui Ming House, Siu Sai Wan Estate",,
Eastern,"Sui Tai House, Siu Sai Wan Estate",,
Eastern,"Sui Shing House, Siu Sai Wan Estate",,
Eastern,"Sui Lung House, Siu Sai Wan Estate",,
Eastern,"Sui Fuk House, Siu Sai Wan Estate",,
Eastern,"Sui Lok House, Siu Sai Wan Estate",,
Eastern,Chung Hing Mansion,,
Eastern,"Block 1, Tanner Garden",,
Eastern,"Block 2, Tanner Garden",,
Eastern,"Block 3, Tanner Garden",,
Eastern,Yen Dack Building,,
Eastern,Yalford Building,,
Eastern,"Yuan Kung Mansion, Taikoo Shing",,
Eastern,"Pak Hoi Mansion, Taikoo Shing",,
Eastern,"Ming Kung Mansion, Taikoo Shing",,
Eastern,"Tung Shan Mansion, Taikoo Shing",,
Eastern,"Tung Hoi Mansion, Taikoo Shing",,
Eastern,"Tai Shan Mansion, Taikoo Shing",,
Eastern,"Choi Tien Mansion, Taikoo Shing",,
Eastern,"Wah Shan Mansion, Taikoo Shing",,
Eastern,"Yat Tien Mansion, Taikoo Shing",,
Eastern,"Lotus Mansion, Taikoo Shing",,
Eastern,"Shun On Mansion, Taikoo Shing",,
Eastern,"Willow Mansion, Taikoo Shing",,
Eastern,"Ngan Sing Mansion, Taikoo Shing",,
Eastern,"Juniper Mansion, Taikoo Shing",,
Eastern,Tai On Building,,
Eastern,Tai Ming House,,
Eastern,Tai Lung House,,
Eastern,Tai Shun House,,
Eastern,Tai Hing House,,
Eastern,Yuet Ming Building,,
Eastern,North Point Mansion,,
Eastern,Winner Mansion,,
Eastern,Wing Tak Mansion,,
Eastern,Wing Po Mansion,,
Eastern,"Block A, Kwong Chiu Terrace",,
Eastern,Hop Lung Factory Building,,
Eastern,Fortune Building,,
Eastern,"Block A, Universal Towers",,
Eastern,On Ning Building,,
Eastern,Yu Wai Mansion,,
Eastern,Novum East,,
Eastern,"Tak Luk House, Walton Estate",,
Eastern,"Tak Shou House, Walton Estate",,
Eastern,"Tak Hay House, Walton Estate",,
Eastern,"Block 20, Heng Fa Chuen",,
Eastern,"Block 2, Heng Fa Chuen",,
Eastern,"Block 30, Heng Fa Chuen",,
Eastern,"Block 38, Heng Fa Chuen",,
Eastern,"Block 46, Heng Fa Chuen",,
Eastern,"Tsui Ching House, Hang Tsui Court",,
Eastern,"Yiu Tsui House, Kai Tsui Court",,
Eastern,"Hin Tsui House, Kai Tsui Court",,
Eastern,"Block 5, Provident Centre",,
Eastern,"Block 6, Provident Centre",,
Eastern,"Yat Yee House, Yee Tsui Court",,
