District,Building name,Last date of visit of the case(s),Related cases
Central & Western,The Mayfair,,
Central & Western,"Block A, Smithfield Garden",,
Central & Western,Tai Wong Building,,
Central & Western,Hillview Garden,,
Central & Western,17 Connaught Road West,,
Central & Western,Tei Kei House,,
Central & Western,Babington House,,
Central & Western,Manly Mansion,,
Central & Western,"Block 1, Cayman Rise",,
Central & Western,"Block N, Wing Wah Mansion",,
Central & Western,"Block T, Wing Wah Mansion",,
Central & Western,Graceful Court,,
Central & Western,Sincere Western House,,
Central & Western,Tung Hing Mansion,,
Central & Western,Fairview Court,,
Central & Western,"Block 1, Centenary Mansion",,
Central & Western,"Block 2, Centenary Mansion",,
Central & Western,Serene Court,,
Central & Western,"East Terrace, Sai Wan Estate",,
Central & Western,16 Western Street,,
Central & Western,"Phase 1, Kwan Yick Building",,
Central & Western,"Block D, Phase 2, Kwan Yick Building",,
Central & Western,Yee Fung Court,,
Central & Western,"Block 3, The Merton",,
Central & Western,Kam Kwan Building,,
Central & Western,Cimbria Court,,
Central & Western,Kingsland Court,,
Central & Western,Intelligent Court,,
Central & Western,Po Leung Kuk Kwok Law Kwai Chun Home For The Elderly,,
Central & Western,Nam Cheong Building,,
Central & Western,Nam Hung Mansion,,
Central & Western,Villa Veneto,,
Central & Western,Wealthy Heights,,
Central & Western,"Tower 1, Queen's Terrace",,
Central & Western,Hang Sing Mansion,,
Central & Western,Pearl Court,,
Central & Western,"To Li Court, Ying Ga Garden",,
Central & Western,Mei Shing Mansion,,
Central & Western,"Block 1, Smithfield Court",,
Central & Western,Merry Court,,
Central & Western,Ying Pont Building,,
Central & Western,"Wong Chik Ting Hall, St. John's College University Of Hong Kong",,
Central & Western,Grace Mansion,,
Central & Western,18 Upper Station Street,,
Central & Western,Park Height,,
Central & Western,Hai Kwang Mansion,,
Central & Western,Hoi Sing Building,,
Central & Western,Sea View Mansion,,
Central & Western,35-37 High Street,,
Central & Western,Kennedy Town Centre,,
Central & Western,Macdonnell House,,
Central & Western,Fortune Villa,,
Central & Western,The Harbourview,,
Central & Western,Fat Lee Mansion,,
Central & Western,Wah Fai House,,
Central & Western,Wah Po Building,,
Central & Western,Shun On Building,,
Central & Western,Sun King House,,
Central & Western,Kiu Fat Building,,
Central & Western,1-9 Graham Street,,
Central & Western,Corona Tower,,
Central & Western,Grenville House,,
Central & Western,Plantation Road,,
Central & Western,Tresend Garden,,
Central & Western,41 D'Aguilar Street,,
Central & Western,Tuck Ga Building,,
Central & Western,224-226 Des Voeux Road West,,
Central & Western,341 Des Voeux Road West,,
Central & Western,"Block 1, Robinson Heights",,
Central & Western,Peaksville,,
Central & Western,Palatial Crest,,
Central & Western,Island Crest,,
Central & Western,"Tower 1, Island Crest",,
Central & Western,"Tower 1, Euston Court",,
Central & Western,"Tower 2, Euston Court",,
Central & Western,"Block 1, Dragonfair Garden",,
Central & Western,Luen Gay Apartments,,
Central & Western,Luen Hong Apartments,,
Central & Western,Valiant Park,,
Central & Western,Fung Yu Building,,
Central & Western,"Block 1, 80 Robinson Road",,
Central & Western,Two ArtLane,,
Central & Western,Lascar Court,,
Central & Western,"Block 2, 1 Po Shan Road",,
Central & Western,"Tower 2, The Belcher's",,
Central & Western,"Block B, Kwun Lung Lau",,
Central & Western,"Block D, Kwun Lung Lau",,
Eastern,M1 Hotel,,
Eastern,Tai Hing Building,,
Eastern,"Sui Ming House, Siu Sai Wan Estate",,
Eastern,"Sui Shing House, Siu Sai Wan Estate",,
Eastern,"Sui Fu House, Siu Sai Wan Estate",,
Eastern,"Sui Fat House, Siu Sai Wan Estate",,
Eastern,"Sui Lung House, Siu Sai Wan Estate",,
Eastern,"Sui Lok House, Siu Sai Wan Estate",,
Eastern,"Block 2, Tanner Garden",,
Eastern,"Block 5, Tanner Garden",,
Eastern,Continental Mansion,,
Eastern,Yalford Building,,
Eastern,"Tower 1, Smiling Shau Kei Wan Plaza",,
Eastern,"Tien Sing Mansion, Taikoo Shing",,
Eastern,"Tai Woo Mansion, Taikoo Shing",,
Eastern,"Pak Hoi Mansion, Taikoo Shing",,
Eastern,"Kam Shan Mansion, Taikoo Shing",,
Eastern,"Maple Mansion, Taikoo Shing",,
Eastern,"Kwun Tien Mansion, Taikoo Shing",,
Eastern,"Tai Shan Mansion, Taikoo Shing",,
Eastern,"Hoi Tien Mansion, Taikoo Shing",,
Eastern,"Hoi Sing Mansion, Taikoo Shing",,
Eastern,"Begonia Mansion, Taikoo Shing",,
Eastern,"Lotus Mansion, Taikoo Shing",,
Eastern,"Yen Kung Mansion, Taikoo Shing",,
Eastern,Tai On Building,,
Eastern,Tai Foo House,,
Eastern,North Point Mansion,,
Eastern,"Block A, Winner Centre",,
Eastern,Wing Wah House,,
Eastern,"Pak Kai Court, Bedford Gardens",,
Eastern,"Pak Tak Court, Bedford Gardens",,
Eastern,1 Sai Wan Ho Street,,
Eastern,Lee Ga Building,,
Eastern,"Tak Shou House, Walton Estate",,
Eastern,"Tak Hay House, Walton Estate",,
Eastern,"Block 15, Heng Fa Chuen",,
Eastern,"Block 22, Heng Fa Chuen",,
Eastern,"Block 45, Heng Fa Chuen",,
Eastern,"Yiu Tsui House, Kai Tsui Court",,
Eastern,"Hin Tsui House, Kai Tsui Court",,
Eastern,Elgar Mansion,,
Eastern,Yee Yun Mansion,,
Eastern,"Ming Sau Building",,
Eastern,"Block 1, Ming Wah Dai Ha",,
Eastern,Ming Fai Building,,
Eastern,"Tung King House, Tung Yuk Court",,
Eastern,"Tung Ning House, Tung Yuk Court",,
Eastern,"Foon Yan House, Tung Yan Court",,
Eastern,"Block 2, Eastway Towers",,
Eastern,Tung Shing Court,,
Eastern,"Block B, Tung Fat Building",,
Eastern,"King Hei House, Tung Hei Court",,
Eastern,"Yat Hei House, Tung Hei Court",,
Eastern,"Yiu Hei House, Tung Hei Court",,
Eastern,Tung Lam Court,,
Eastern,"Ying Tao House, Tung Tao Court",,
Eastern,"Kam Chun House, Tung Chun Court",,
Eastern,"Ngan Chun House, Tung Chun Court",,
Eastern,"Block 10, Nan Fung Sun Chuen",,
Eastern,"Block 1, Nan Fung Sun Chuen",,
Eastern,"Block 13, City Garden",,
Eastern,Wilmont Court,,
Eastern,Kingsway Garden,,
Eastern,Kin Yip Court,,
Eastern,"Tower 2, Fleur Pavilia",,
Eastern,"Tower 3, Fleur Pavilia",,
Eastern,"Block A4, Coral Court",,
Eastern,"Tower 3, Island Garden",,
Eastern,"Hiu Fung House, Fung Wah Estate",,
Eastern,"Block 1, Chai Wan Police Married Quarters",,
Eastern,"Wan Ying House, Chai Wan Estate",,
Eastern,"Wan Poon House, Chai Wan Estate",,
Eastern,"Cheung Pak Mansion, Parkvale",,
Eastern,"Shui Pak Mansion, Parkvale",,
Eastern,"Ling Pak Mansion, Parkvale",,
Eastern,"Choi Tien Mansion, Horizon Gardens",,
Eastern,"Sung Fung Court, Harbour Heights",,
Eastern,Yick Cheong Building,,
Eastern,Yick Fat Building,,
Eastern,"Block D, Healthy Gardens",,
Eastern,"Wong Kuk Lau, Phase 3, Healthy Village",,
Eastern,"Block 8, Kornhill Gardens",,
Eastern,Everwin Building,,
Eastern,"Tower 5, Greenwood Terrace",,
Eastern,Hong Lok Building,,
Eastern,Tak Lee Building,,
Eastern,Fu On Court,,
Eastern,"Block 1, Cheerful Garden",,
Eastern,"Block 2, Cheerful Garden",,
Eastern,"Block 3, Cheerful Garden",,
Eastern,"Block 5, Cheerful Garden",,
Eastern,"Block 4, Harmony Garden",,
Eastern,"Block 1, Fullview Garden",,
Eastern,"Block 8, Fullview Garden",,
Eastern,"Golden Cedar Court, Full Wealth Gardens",,
Eastern,"Fu Bon Court, Fortress Garden",,
Eastern,"Fu Wai Court, Fortress Garden",,
Eastern,"Fu Kar Court, Fortress Garden",,
Eastern,"Fullview Court, Fortress Garden",,
Eastern,Wah Tai Mansion,,
Eastern,Wah Kin Mansion,,
Eastern,"Gee Lan Mansion, Westlands Court",,
Eastern,"Le Printemps, Les Saisons",,
Eastern,"L'Automne, Les Saisons",,
Eastern,Arden Court,,
Eastern,"Block A, Summit Court",,
Eastern,"Oi Ping House, Oi Tung Estate",,
Eastern,"Oi Sin House, Oi Tung Estate",,
Eastern,"Oi Yat House, Oi Tung Estate",,
Eastern,"Block 4, Aldrich Garden",,
Eastern,"Block C, Sunway Gardens",,
Eastern,"Block D, Sunway Gardens",,
Eastern,"Block E, Sunway Gardens",,
Eastern,"Block B, Metropole Building",,
Eastern,"Block 3, New Jade Garden",,
Eastern,"Block 4, New Jade Garden",,
Eastern,Yip Ning Building,,
Eastern,348-350 Shau Kei Wan Road,,
Eastern,"Man Hong Apartment, Man Hong Apartment",,
Eastern,"Block A, Kiu Kwan Mansion",,
Eastern,Wing Fat Building,,
Eastern,"Yue On House, Yue Wan Estate",,
Eastern,"Yue Tai House, Yue Wan Estate",,
Eastern,"Block B, Belleve Court",,
Eastern,"Tower 7, Harbour Glory",,
Eastern,"Tsui Fuk House, Tsui Wan Estate",,
Eastern,Ngan Fai Building,,
