District,Building name,Last date of visit of the case(s),Related cases
Central & Western,Samtoh Building,,
Central & Western,Sum Way Mansion,,
Central & Western,"Block B, Midland Centre",,
Central & Western,Felicity Building,,
Central & Western,14 Kau U Fong,,
Central & Western,New Fortune House,,
Central & Western,"Block B, New Fortune House",,
Central & Western,Chun King Court,,
Central & Western,19 Po Tuck Street,,
Central & Western,Kiu Fat Building,,
Central & Western,Siu Yee Building,,
Central & Western,Siu Cheung Building,,
Central & Western,Graceful Court,,
Central & Western,Sincere Western House,,
Central & Western,"Block 1, Kong Chian Tower",,
Central & Western,"Block 2, Kong Chian Tower",,
Central & Western,2 Hatton Road,,
Central & Western,Federate Building,,
Central & Western,Joy Fat Mansion,,
Central & Western,Joyful Building,,
Central & Western,"Block A, Chong Yip Centre",,
Central & Western,"Block B, Chong Yip Centre",,
Central & Western,"Block C, Chong Yip Centre",,
Central & Western,"Block 2, Cayman Rise",,
Central & Western,Millennium Court,,
Central & Western,52 Belcher's Street,,
Central & Western,99 Belcher's Street,,
Central & Western,Nan Hai Mansion,,
Central & Western,Nam Wah Mansion,,
Central & Western,Nam Hung Mansion,,
Central & Western,"Block A, Nam Hung Mansion",,
Central & Western,Hau Fook Building,,
Central & Western,Cupford House,,
Central & Western,42 Catchick Street,,
Central & Western,Tone Hing Building,,
Central & Western,Tung Hing Mansion,,
Central & Western,Wo Yick Mansion,,
Central & Western,"Block A, Smithfield Terrace",,
Central & Western,"Block C, Smithfield Terrace",,
Central & Western,Cado Building,,
Central & Western,Skylight Tower,,
Central & Western,"Phase 1, Kwan Yick Building",,
Central & Western,"Block A, Phase 2, Kwan Yick Building",,
Central & Western,"Block B, Phase 2, Kwan Yick Building",,
Central & Western,"Block C, Phase 2, Kwan Yick Building",,
Central & Western,"Block D, Phase 2, Kwan Yick Building",,
Central & Western,"Block A, Phase 3, Kwan Yick Building",,
Central & Western,"Block B, Phase 3, Kwan Yick Building",,
Central & Western,Kennedy Town Centre,,
Central & Western,Caineway Mansion,,
Central & Western,Tai Hau Wan Village,,
Central & Western,Tai Hang Building,,
Central & Western,Tin Hing Building,,
Central & Western,Old Bailey Street Police Married Quarters,,
Central & Western,Fan Hing Building,,
Central & Western,Good Times Building,,
Central & Western,Best View Court,,
Central & Western,Wilmer Building,,
Central & Western,"Block 3, Academic Terrace",,
Central & Western,Andes Plaza,,
Central & Western,Marco Garden,,
Central & Western,Fu Ga Building,,
Central & Western,Fu Moon Building,,
Central & Western,Fu Yin Court,,
Central & Western,"Block A, Ning Yeung Terrace",,
Central & Western,Bonham Court,,
Central & Western,Po Thai Building,,
Central & Western,"Tower 5, The Belcher's",,
Central & Western,"Block A, Belcher Court",,
Central & Western,Eivissa Crest,,
Central & Western,40 Whitty Street,,
Central & Western,Sands Building,,
Central & Western,19 Sands Street,,
Central & Western,168 Connaught Road West,,
Central & Western,Kin Yick Mansion,,
Central & Western,Tak Fung Building,,
Central & Western,120 Des Voeux Road West,,
Central & Western,182 Des Voeux Road West,,
Central & Western,191 Des Voeux Road West,,
Central & Western,224-226 Des Voeux Road West,,
Central & Western,235 Des Voeux Road West,,
Central & Western,284 Des Voeux Road West,,
Central & Western,286 Des Voeux Road West,,
Central & Western,406E Des Voeux Road West,,
Central & Western,406 Des Voeux Road West,,
Central & Western,"Block 1, Elegant Garden",,
Central & Western,"Block 2, Elegant Garden",,
Central & Western,Yee Fung Court,,
Central & Western,Hang Fai Building,,
Central & Western,Wai Wah Court,,
Central & Western,Sun Shing Building,,
Central & Western,Sun Shing Mansion,,
Central & Western,Shing Wan Building,,
Central & Western,Cheong Kat Mansion,,
Central & Western,Cheong Wan Mansion,,
Central & Western,"Lincolne House, Matilda International Hospital",,
Central & Western,Po Hing Mansion,,
Central & Western,Hill Court,,
Central & Western,High West,,
Central & Western,Sunglow Building,,
Central & Western,Tung Hing Court,,
Central & Western,Tung Shing Terrace,,
Central & Western,Tung Cheung Building,,
Central & Western,Tung Wai Garden,,
Central & Western,26-28 Eastern Street,,
Central & Western,28 Eastern Street,,
Central & Western,25 Park Road,,
Central & Western,"Wing Lee Building, 18 Kwai Heung Street",,
Central & Western,21 Kwai Heung Street,,
Central & Western,Yip Cheong Building,,
Central & Western,Wing Sing Court,,
Central & Western,"Block 2, Winner Court",,
Central & Western,Ching Tak Building,,
Central & Western,24 Centre Street,,
Central & Western,48 Centre Street,,
Central & Western,General Building,,
Central & Western,"Phase 2, Blessings Garden",,
Central & Western,"Block 1, Yuk Ming Towers",,
Central & Western,24 Possession Street,,
Central & Western,136 Wing Lok Street,,
Central & Western,Winsome House,,
Central & Western,Wing Hing House,,
Central & Western,"Block G, Wing Wah Mansion",,
Central & Western,"Block L, Wing Wah Mansion",,
Central & Western,"Block M, Wing Wah Mansion",,
Central & Western,"Block X, Wing Wah Mansion",,
Central & Western,"Block Y, Wing Wah Mansion",,
Central & Western,"Block Z, Wing Wah Mansion",,
Central & Western,"Block 2, The Merton",,
Central & Western,"Block 3, The Merton",,
Central & Western,The Hudson,,
Central & Western,"Block 1, Harbour View Garden",,
Central & Western,"Tower 3, Harbour View Garden",,
Central & Western,Hoi Tao Building,,
Central & Western,Bull House,,
Central & Western,"Block A, Pearl Court",,
Central & Western,"Block B, Pearl Court",,
Central & Western,Kingsford Height,,
Central & Western,Sang Cheong Building,,
Central & Western,Pak Hoo Mansion,,
Central & Western,"Block 2, Centenary Mansion",,
Central & Western,242 Queen's Road Central,,
Central & Western,165 Queen's Road West,,
Central & Western,168-170 Queen's Road West,,
Central & Western,169 Queen's Road West,,
Central & Western,177 Queen's Road West,,
Central & Western,183 Queen's Road West,,
Central & Western,193 Queen's Road West,,
Central & Western,20 Queen's Road West,,
Central & Western,"Wah Lee Building, 210 Queen's Road West",,
Central & Western,248-254 Queen's Road West,,
Central & Western,265 Queen's Road West,,
Central & Western,269-275 Queen's Road West,,
Central & Western,305 Queen's Road West,,
Central & Western,308 Queen's Road West,,
Central & Western,312 Queen's Road West,,
Central & Western,326 Queen's Road West,,
Central & Western,347 Queen's Road West,,
Central & Western,372-374 Queen's Road West,,
Central & Western,372 Queen's Road West,,
Central & Western,376 Queen's Road West,,
Central & Western,380 Queen's Road West,,
Central & Western,382 Queen's Road West,,
Central & Western,388 Queen's Road West,,
Central & Western,389-391 Queen's Road West,,
Central & Western,396 Queen's Road West,,
Central & Western,30 Queen Street,,
Central & Western,True Light Building,,
Central & Western,Johnson Mansion,,
