District,Building name,Last date of visit of the case(s),Related cases
Central & Western,Century Tower I,10/11/2022,
Central & Western,Tower 125,10/11/2022,
Central & Western,Lyndhurst Building,10/11/2022,
Central & Western,8 Elgin Street,10/11/2022,
Central & Western,Scholastic Garden,10/11/2022,
Central & Western,Po Ga Building,10/11/2022,
Central & Western,Graceful Court,10/11/2022,
Central & Western,Joyful Building,10/11/2022,
Central & Western,7 Lyttelton Road,10/11/2022,
Central & Western,Le Caine Mansion,10/11/2022,
Central & Western,Lee Fung Building,10/11/2022,
Central & Western,"Block B, Chong Yip Centre",10/11/2022,
Central & Western,"Block 2, Cayman Rise",10/11/2022,
Central & Western,Dawning Height,10/11/2022,
Central & Western,Nan Sang Building,10/11/2022,
Central & Western,"Block B, Nam Hung Mansion",10/11/2022,
Central & Western,Tung Tat Building,10/11/2022,
Central & Western,Conduit Tower,10/11/2022,
Central & Western,Wo Yick Mansion,10/11/2022,
Central & Western,"Tower 3, Tregunter",10/11/2022,
Central & Western,"Block A, Phase 2, Kwan Yick Building",10/11/2022,
Central & Western,"Block B, Phase 3, Kwan Yick Building",10/11/2022,
Central & Western,Kennedy Town Centre,10/11/2022,
Central & Western,Caineway Mansion,10/11/2022,
Central & Western,Tai King Building,10/11/2022,
Central & Western,Old Bailey Street Police Married Quarters,10/11/2022,
Central & Western,Wealthy Heights,10/11/2022,
Central & Western,Yue On Building,10/11/2022,
Central & Western,On Lok Mansion,10/11/2022,
Central & Western,On Shun Building,10/11/2022,
Central & Western,Ibis Hong Kong Central & Sheung Wan,10/11/2022,
Central & Western,East Sun Mansion,10/11/2022,
Central & Western,Macro Garden,10/11/2022,
Central & Western,Bonham Court,10/11/2022,
Central & Western,Jadestone Court,10/11/2022,
Central & Western,"Tower 2, The Belcher's",10/11/2022,
Central & Western,"Tower 3, The Belcher's",10/11/2022,
Central & Western,"Tower 5, The Belcher's",10/11/2022,
Central & Western,"Tower 6, The Belcher's",10/11/2022,
Central & Western,"Tower 8, The Belcher's",10/11/2022,
Central & Western,"Tower 2, Queen's Terrace",10/11/2022,
Central & Western,"Block A, Imperial Court",10/11/2022,
Central & Western,Conway Mansion,10/11/2022,
Central & Western,"Tower 2, Kwong Fung Terrace",10/11/2022,
Central & Western,Scenic Rise,10/11/2022,
Central & Western,Tak Fung Building,10/11/2022,
Central & Western,Hang Sing Mansion,10/11/2022,
Central & Western,"Tower 1, Elegant Terrace",10/11/2022,
Central & Western,"Block 1, Vantage Park",10/11/2022,
Central & Western,Ying Piu Mansion,10/11/2022,
Central & Western,Chi Ping Building,10/11/2022,
Central & Western,The Morgan,10/11/2022,
Central & Western,Sun On Building,10/11/2022,
Central & Western,Brilliant Court,10/11/2022,
Central & Western,King's Building,10/11/2022,
Central & Western,Sunglow Building,10/11/2022,
Central & Western,Houston Court,10/11/2022,
Central & Western,Tung Tze Terrace,10/11/2022,
Central & Western,Tung Cheung Building,10/11/2022,
Central & Western,25 Park Road,10/11/2022,
Central & Western,No. 2 Park Road,10/11/2022,
Central & Western,"Block B, 25 Park Road Government Quarters",10/11/2022,
Central & Western,"Block 3, Robinson Heights",10/11/2022,
Central & Western,Goodview Court,10/11/2022,
Central & Western,"Phase 1, Blessings Garden",10/11/2022,
Central & Western,Wing Fung Mansion,10/11/2022,
Central & Western,"Block 1, The Merton",10/11/2022,
Central & Western,"Block 2, The Merton",10/11/2022,
Central & Western,"Block B, Pearl Court",10/11/2022,
Central & Western,"Block B, Greenland Garden",10/11/2022,
Central & Western,Fook Sing Court,10/11/2022,
Central & Western,"Block C, Rhine Court",10/11/2022,
Central & Western,Tse Lan Mansion,10/11/2022,
Central & Western,Ivy On Belcher's,10/11/2022,
Central & Western,"Tower 2, Island Crest",10/11/2022,
Central & Western,"Block 1, Smithfield Court",10/11/2022,
Central & Western,"Block 2, Smithfield Court",10/11/2022,
Central & Western,Merry Court,10/11/2022,
Central & Western,Jade Court,10/11/2022,
Central & Western,"Tower 2, Novum West",10/11/2022,
Central & Western,"Tower 1, University Heights",10/11/2022,
Central & Western,Luen Wai Apartments,10/11/2022,
Central & Western,Hing Hon Building,10/11/2022,
Central & Western,"Block 2, Garden Terrace",10/11/2022,
Central & Western,"Tower A, Hollywood Terrace",10/11/2022,
Central & Western,172 Hollywood Road,10/11/2022,
Central & Western,Skyview Cliff,10/11/2022,
Central & Western,Man Bond Building,10/11/2022,
Central & Western,Pokfield Garden,10/11/2022,
Central & Western,Azura,10/11/2022,
Central & Western,Windsor Court,10/11/2022,
Central & Western,"Block C, Y Y Mansions",10/11/2022,
Central & Western,Sai Ying Pun Post Office (Firemen's Married Quarters),10/11/2022,
Central & Western,"Central Terrace, Sai Wan Estate",10/11/2022,
Central & Western,"West Terrace, Sai Wan Estate",10/11/2022,
Central & Western,"Block 1, Kwun Lung Lau",10/11/2022,
Central & Western,"Tower 2, Euston Court",10/11/2022,
Central & Western,Yin Tak Building,10/11/2022,
Central & Western,Talon Tower,10/11/2022,
Central & Western,Chater Hall,10/11/2022,
Central & Western,Golden Phoenix Court,10/11/2022,
Central & Western,Lungga Mansion,10/11/2022,
Central & Western,Shun Sing Mansion,10/11/2022,
Central & Western,Shun Hing Building,10/11/2022,
Central & Western,Chung Yin Court,10/11/2022,
Central & Western,"Lee Shau Kee Hall, The University Of Hong Kong Jockey Club Student Village 2",10/11/2022,
Central & Western,Valiant Park,10/11/2022,
Central & Western,Tavistock,10/11/2022,
Central & Western,"Block 2, Connaught Garden",10/11/2022,
Central & Western,Manhattan Heights,10/11/2022,
Central & Western,86 Ko Shing Street,10/11/2022,
Central & Western,Goldwin Heights,10/11/2022,
Central & Western,14-16 Aberdeen Street,10/11/2022,
Central & Western,Regent Height,10/11/2022,
Central & Western,"Block B, Tycoon Court",10/11/2022,
Central & Western,Dragonview Court,10/11/2022,
Central & Western,The Mayfair,09/11/2022,
Central & Western,The Richmond,09/11/2022,
Central & Western,"Block B, Midland Centre",09/11/2022,
Central & Western,Mini Hotel Central,09/11/2022,
Central & Western,9-13 Shelley Street,09/11/2022,
Central & Western,11 Elgin Street,09/11/2022,
Central & Western,23 Po Tuck Street,09/11/2022,
Central & Western,Villa Serene,09/11/2022,
Central & Western,Siu On Mansion,09/11/2022,
Central & Western,Siu Cheung Building,09/11/2022,
Central & Western,Sincere Western House,09/11/2022,
Central & Western,"Block C, Chong Yip Centre",09/11/2022,
Central & Western,Winsome Park,09/11/2022,
Central & Western,Central 8,09/11/2022,
Central & Western,Hillview,09/11/2022,
Central & Western,131 Belcher's Street,09/11/2022,
Central & Western,Kut Cheung Mansion,09/11/2022,
Central & Western,Tung Hing Mansion,09/11/2022,
Central & Western,"Block 1, The Grand Panorama",09/11/2022,
Central & Western,Glory Heights,09/11/2022,
Central & Western,Ka Fu Building,09/11/2022,
Central & Western,"Block B, Ka Fu Building",09/11/2022,
Central & Western,Clovelly Court,09/11/2022,
Central & Western,"Block A, Smithfield Terrace",09/11/2022,
Central & Western,"Block D, Smithfield Terrace",09/11/2022,
Central & Western,Kwok Ga Building,09/11/2022,
Central & Western,"Phase 1, Kwan Yick Building",09/11/2022,
Central & Western,"Block B, Phase 2, Kwan Yick Building",09/11/2022,
Central & Western,38 Staunton Street,09/11/2022,
Central & Western,"On Lok Building, 1-4 Tai On Terrace",09/11/2022,
Central & Western,"Block 2, Academic Terrace",09/11/2022,
Central & Western,"Block 3, Academic Terrace",09/11/2022,
Central & Western,4-6 On Wo Lane,09/11/2022,
Central & Western,Wealth Building,09/11/2022,
Central & Western,Borrett Mansions,09/11/2022,
Central & Western,Po Hing Mansion,09/11/2022,
Central & Western,"Tower 1, The Belcher's",09/11/2022,
Central & Western,Fairlane Tower,09/11/2022,
Central & Western,Whitty Street Court,09/11/2022,
Central & Western,95 Hill Road,09/11/2022,
Central & Western,Hong Villa,09/11/2022,
Central & Western,Wellesley,09/11/2022,
Central & Western,"Block C, Imperial Court",09/11/2022,
Central & Western,"Block A, Hongway Garden",09/11/2022,
Central & Western,"Block B, Hongway Garden",09/11/2022,
Central & Western,Kin Liong Mansion,09/11/2022,
Central & Western,151 Des Voeux Road West,09/11/2022,
Central & Western,Yin Serviced Apartments,09/11/2022,
Central & Western,"Tower 2, Elegant Terrace",09/11/2022,
Central & Western,"Block D, Wisdom Court",09/11/2022,
Central & Western,Wai Wah Court,09/11/2022,
Central & Western,"Block 2, Vantage Park",09/11/2022,
Central & Western,Sun King House,09/11/2022,
Central & Western,Smith Court,09/11/2022,
Central & Western,Tung Ming Court,09/11/2022,
Central & Western,Yip Cheong Building,09/11/2022,
Central & Western,Flourish Court,09/11/2022,
Central & Western,"Tower 1, Harbour View Garden",09/11/2022,
Central & Western,Kingsford Height,09/11/2022,
Central & Western,Bel Mount Garden,09/11/2022,
Central & Western,"Wing Wah Mansion, 425V Queen's Road West",09/11/2022,
Central & Western,True Light Building,09/11/2022,
Central & Western,"Block A, The Fortune Gardens",09/11/2022,
Central & Western,"Block B, The Fortune Gardens",09/11/2022,
Central & Western,62B Robinson Road,09/11/2022,
Central & Western,"Block 1, Hee Wong Terrace",09/11/2022,
Central & Western,Luen Hong Apartments,09/11/2022,
Central & Western,2 Old Peak Road,09/11/2022,
Central & Western,Hollywood Building,09/11/2022,
Central & Western,Lilian Court,09/11/2022,
Central & Western,Best Western Plus Hotel Hong Kong,09/11/2022,
Central & Western,Wah Po Building,09/11/2022,
Central & Western,Ramada Hong Kong Harbour View,09/11/2022,
Central & Western,103 Jervois Street,09/11/2022,
Central & Western,"Evergreen Tower, Western Garden",09/11/2022,
Central & Western,"Ivy Tower, Western Garden",09/11/2022,
Central & Western,Serene Court,09/11/2022,
Central & Western,Good View Court,09/11/2022,
Central & Western,Emerald Gardens,09/11/2022,
Central & Western,Bon-Point,09/11/2022,
Central & Western,"Tower 1, Robinson Place",09/11/2022,
Central & Western,JW Marriott Hotel Hong Kong,09/11/2022,
Central & Western,Four Seasons Hotel Hong Kong,09/11/2022,
Central & Western,"Lady Ho Tung Hall, The University Of Hong Kong Jockey Club Student Village 1",09/11/2022,
Central & Western,Courtyard By Marriott Hong Kong,09/11/2022,
Central & Western,Lechler Court,09/11/2022,
Central & Western,Lai Yin Court,09/11/2022,
Central & Western,New Fortune House,08/11/2022,
Central & Western,Yen Oi Garden,08/11/2022,
Central & Western,Yen Fook Mansion,08/11/2022,
Central & Western,"Block 1, Cayman Rise",08/11/2022,
Central & Western,Kelford Mansion,08/11/2022,
Central & Western,Kai Fung Mansion,08/11/2022,
Central & Western,Corona Tower,08/11/2022,
Central & Western,Skylight Tower,08/11/2022,
Central & Western,3A Tregunter Path,08/11/2022,
Central & Western,"Tower 2, Tregunter",08/11/2022,
Central & Western,"Block A, Phase 3, Kwan Yick Building",08/11/2022,
Central & Western,Pacific Place Apartments,08/11/2022,
Central & Western,Wise Mansion,08/11/2022,
Central & Western,"Block 1, Academic Terrace",08/11/2022,
Central & Western,On Fung Building,08/11/2022,
Central & Western,On Fat Building,08/11/2022,
Central & Western,Iclub Sheung Wan Hotel,08/11/2022,
Central & Western,Po Yue Yuk Building,08/11/2022,
Central & Western,"Block B, Belcher Court",08/11/2022,
Central & Western,Centrepoint,08/11/2022,
Central & Western,"Tower 1, Queen's Terrace",08/11/2022,
Central & Western,"Tower 3, Queen's Terrace",08/11/2022,
Central & Western,"Tower 3, Dynasty Court",08/11/2022,
Central & Western,Cliffview Mansions,08/11/2022,
Central & Western,Des Voeux Building,08/11/2022,
Central & Western,237 Des Voeux Road West,08/11/2022,
Central & Western,Yee Fung Court,08/11/2022,
Central & Western,Scholar Court,08/11/2022,
Central & Western,High West,08/11/2022,
Central & Western,32A Li Po Lung Path,08/11/2022,
Central & Western,Tung Lee Mansion,08/11/2022,
Central & Western,"Block 1, Robinson Heights",08/11/2022,
Central & Western,Rockson Mansion,08/11/2022,
Central & Western,Rowen Court,08/11/2022,
Central & Western,243 Wing Lok Street,08/11/2022,
Central & Western,Winsome House,08/11/2022,
Central & Western,"Block 3, The Merton",08/11/2022,
Central & Western,Hoi Lee Building,08/11/2022,
