District,Building name,Last date of visit of the case(s),Related cases
Central & Western,Federate Building,14/09/2022,
Central & Western,Samtoh Building,14/09/2022,
Central & Western,Sum Way Mansion,14/09/2022,
Central & Western,New Fortune House,14/09/2022,
Central & Western,Kung Lee Church Mansions,14/09/2022,
Central & Western,Tin Hing Mansion,14/09/2022,
Central & Western,Century Tower II,14/09/2022,
Central & Western,51-53 Mount Kellett Road,14/09/2022,
Central & Western,"Block 2, Cayman Rise",14/09/2022,
Central & Western,Ka Fai Court,14/09/2022,
Central & Western,Wing Cheung Building,14/09/2022,
Central & Western,28 Barker Road,14/09/2022,
Central & Western,Joy Fat House,14/09/2022,
Central & Western,Kuk Fung Building,14/09/2022,
Central & Western,60 West,14/09/2022,
Central & Western,Western House,14/09/2022,
Central & Western,"Evergreen Tower, Western Garden",14/09/2022,
Central & Western,"North Terrace, Sai Wan Estate",14/09/2022,
Central & Western,"Phase 1, Kwan Yick Building",14/09/2022,
Central & Western,"Block A, Phase 3, Kwan Yick Building",14/09/2022,
Central & Western,"Block B, Phase 3, Kwan Yick Building",14/09/2022,
Central & Western,131 Belcher's Street,14/09/2022,
Central & Western,Whitty Street Court,14/09/2022,
Central & Western,"Block 1, Elegant Garden",14/09/2022,
Central & Western,Cheung Ling Mansion,14/09/2022,
Central & Western,Pearl Gardens,14/09/2022,
Central & Western,Tong Nam Mansion,14/09/2022,
Central & Western,Tung Cheung Building,14/09/2022,
Central & Western,Kam Kwan Building,14/09/2022,
Central & Western,Kam Tong Building,14/09/2022,
Central & Western,Kam Kin Mansion,14/09/2022,
Central & Western,Kam Ling Court,14/09/2022,
Central & Western,Kam Fung Building,14/09/2022,
Central & Western,St. Louis Mansion,14/09/2022,
Central & Western,Elite's Place,14/09/2022,
Central & Western,Scholastic Garden,14/09/2022,
Central & Western,Nan Hai Mansion,14/09/2022,
Central & Western,"Tower 2, Queen's Terrace",14/09/2022,
Central & Western,Sing Fai Building,14/09/2022,
Central & Western,King's Hill,14/09/2022,
Central & Western,May Sun Building,14/09/2022,
Central & Western,Markfield Building,14/09/2022,
Central & Western,"Simon K Y Lee Hall, The University Of Hong Kong",14/09/2022,
Central & Western,"Wong Chik Ting Hall, St. John’s College, The University of Hong Kong",14/09/2022,
Central & Western,Flourish Court,14/09/2022,
Central & Western,"Tower 1, Harbour View Garden",14/09/2022,
Central & Western,"Tower 3, Harbour View Garden",14/09/2022,
Central & Western,"Block A, Hoi Tao Building",14/09/2022,
Central & Western,True Light Building,14/09/2022,
Central & Western,Ko Leung Mansion,14/09/2022,
Central & Western,Kennedy Town Centre,14/09/2022,
Central & Western,Caineway Mansion,14/09/2022,
Central & Western,Sung Ling Mansion,14/09/2022,
Central & Western,96 Third Street,14/09/2022,
Central & Western,"Tower A, Hollywood Terrace",14/09/2022,
Central & Western,"Block A, Chong Yip Centre",14/09/2022,
Central & Western,"Block B, Chong Yip Centre",14/09/2022,
Central & Western,Wealth Building,14/09/2022,
Central & Western,Iclub Sheung Wan Hotel,14/09/2022,
Central & Western,William Mansion,14/09/2022,
Central & Western,Wah Koon Building,14/09/2022,
Central & Western,Beauty Court,14/09/2022,
Central & Western,Shun Sing Mansion,14/09/2022,
Central & Western,Sun Luen Building,14/09/2022,
Central & Western,Yip Cheong Building,14/09/2022,
Central & Western,Grand Fortune Mansion,14/09/2022,
Central & Western,Talon Tower,14/09/2022,
Central & Western,"Tower 2, Robinson Place",14/09/2022,
Central & Western,Clovelly Court,14/09/2022,
Central & Western,"Block D, Smithfield Terrace",14/09/2022,
Central & Western,"Block 2, Scenic Garden",14/09/2022,
Central & Western,Floral Tower,14/09/2022,
Central & Western,Tsui On Court,14/09/2022,
Central & Western,"Block K, Pine Court",14/09/2022,
Central & Western,"Block B, Cape Mansions",14/09/2022,
Central & Western,Cherry Crest,14/09/2022,
Central & Western,Rich View Terrace,14/09/2022,
Central & Western,Hoover Court,14/09/2022,
Central & Western,"Tower 2, Kwong Fung Terrace",14/09/2022,
Central & Western,Tuck Ga Building,14/09/2022,
Central & Western,408A Des Voeux Road West,14/09/2022,
Central & Western,"Block 1, Robinson Heights",14/09/2022,
Central & Western,"Block 2, Robinson Heights",14/09/2022,
Central & Western,"Tower 3, Robinson Heights",14/09/2022,
Central & Western,Wilton Place,14/09/2022,
Central & Western,Palatial Crest,14/09/2022,
Central & Western,"Tower 1, Hillsborough Court",14/09/2022,
Central & Western,Chester Court,14/09/2022,
Central & Western,"Tower 2, University Heights",14/09/2022,
Central & Western,"Block M, Hing Wah Mansion",14/09/2022,
Central & Western,Mau Wah Mansion,14/09/2022,
Central & Western,Luen Hong Apartments,14/09/2022,
Central & Western,Luen Fat Apartments,14/09/2022,
Central & Western,Luen Tak Apartments,14/09/2022,
Central & Western,Yee Lin Mansion,14/09/2022,
Central & Western,Ngan Yu Building,14/09/2022,
Central & Western,"Block 2, 80 Robinson Road",14/09/2022,
Central & Western,Po Garden,14/09/2022,
Central & Western,"Tower 1, The Belcher's",14/09/2022,
Central & Western,"Tower 2, The Belcher's",14/09/2022,
Central & Western,"Tower 3, The Belcher's",14/09/2022,
Central & Western,"Tower 5, The Belcher's",14/09/2022,
Central & Western,"Tower 6, The Belcher's",14/09/2022,
Central & Western,"Tower 8, The Belcher's",14/09/2022,
Central & Western,Po Tak Mansion,14/09/2022,
Central & Western,"Block 1, Kwun Lung Lau",14/09/2022,
Central & Western,"Block B, Kwun Lung Lau",14/09/2022,
Central & Western,"Block F, Kwun Lung Lau",14/09/2022,
Central & Western,The Mount Austin,13/09/2022,
Central & Western,"Block 1, Cayman Rise",13/09/2022,
Central & Western,Ching Tak Building,13/09/2022,
Central & Western,Sincere Western House,13/09/2022,
Central & Western,Joyful Building,13/09/2022,
Central & Western,Best View Court,13/09/2022,
Central & Western,"Block 2, Centenary Mansion",13/09/2022,
Central & Western,Serene Court,13/09/2022,
Central & Western,"Central Terrace, Sai Wan Estate",13/09/2022,
Central & Western,"Block C, Phase 2, Kwan Yick Building",13/09/2022,
Central & Western,Wo Yick Mansion,13/09/2022,
Central & Western,Elegance Court,13/09/2022,
Central & Western,Brilliant Court,13/09/2022,
Central & Western,Tung Shing Terrace,13/09/2022,
Central & Western,"Fook Chak House, Tung Fai Gardens",13/09/2022,
Central & Western,La Maison Du Nord,13/09/2022,
Central & Western,Kam Ning Mansion,13/09/2022,
Central & Western,23 South Lane,13/09/2022,
Central & Western,"Tower 1, Queen's Terrace",13/09/2022,
Central & Western,"Tower 3, Queen's Terrace",13/09/2022,
Central & Western,"Block B, Pearl Court",13/09/2022,
Central & Western,308 Queen's Road West,13/09/2022,
Central & Western,"St. John's College, The University of Hong Kong",13/09/2022,
Central & Western,"Block 2, Hoi Sing Building",13/09/2022,
Central & Western,"Block B, Hoi Tao Building",13/09/2022,
Central & Western,"Block A, Yick Fung Garden",13/09/2022,
Central & Western,57 Bonham Road,13/09/2022,
Central & Western,"Ko Shing Building, 48-66 Ko Shing Street",13/09/2022,
Central & Western,47-49 High Street,13/09/2022,
Central & Western,88-90 High Street,13/09/2022,
Central & Western,Goa Building,13/09/2022,
Central & Western,Grosvenor House,13/09/2022,
Central & Western,Goldwin Heights,13/09/2022,
Central & Western,Caine Mansion,13/09/2022,
Central & Western,Conway Mansion,13/09/2022,
Central & Western,Tim Po Court,13/09/2022,
Central & Western,101 First Street,13/09/2022,
Central & Western,122 Hollywood Road,13/09/2022,
Central & Western,11 Pollock's Path,13/09/2022,
Central & Western,The View Mansion,13/09/2022,
Central & Western,Greenview Gardens,13/09/2022,
Central & Western,Wah Lee Building,13/09/2022,
Central & Western,Emerald Gardens,13/09/2022,
Central & Western,Sun King House,13/09/2022,
Central & Western,"Tower A, Queen's Garden",13/09/2022,
Central & Western,"Block 2, Yue Sun Mansion",13/09/2022,
Central & Western,"Tower 1, Robinson Place",13/09/2022,
Central & Western,34 Graham Street,13/09/2022,
Central & Western,Carble Garden,13/09/2022,
Central & Western,13 Gough Street,13/09/2022,
Central & Western,Piccadilly Mansion,13/09/2022,
Central & Western,Fook Sing Court,13/09/2022,
Central & Western,Woodland Court,13/09/2022,
Central & Western,Elegant Garden,13/09/2022,
